(218.6 ,  22.3)
(761.8 , 438.8)
(543.3 , 108.3)
(991.7 , 600.9)
(469.5 , 185.7)
(648.8 , 660.6)
(716.0 , 196.3)
(484.2 , 913.6)
(128.3 , 733.9)
(606.8 , 172.2)
(367.5 , 523.4)
(231.1 ,  54.3)
(627.3 , 384.1)
(243.1 , 871.6)
(357.9 , 973.7)
(677.2 , 181.5)
( 74.5 , 909.5)
( 35.0 ,   6.3)
(969.0 , 438.8)
(917.8 , 868.9)
(468.3 , 389.4)
(  2.9 , 489.0)
(819.7 , 370.3)
(381.1 , 914.8)
( 63.8 , 415.1)
(105.7 , 755.2)
(507.7 , 311.0)
(665.4 , 147.5)
(315.8 , 210.5)
(489.3 , 992.4)
(236.5 , 998.5)
(754.5 , 635.8)
(468.8 , 679.0)
(359.2 , 219.1)
(222.4 , 741.6)
(161.4 ,  42.5)
(143.7 , 245.8)
(558.2 ,  82.9)
(402.2 , 471.6)
( 26.6 , 569.1)
(280.7 , 448.2)
(433.0 , 807.1)
(655.1 , 104.6)
(486.9 , 849.4)
(331.0 , 948.3)
(168.4 , 726.3)
(770.8 , 962.0)
( 50.5 , 617.2)
( 66.3 , 494.3)
(666.5 , 253.7)
(211.6 , 860.3)
(297.8 , 797.1)
(895.8 , 491.7)
( 95.8 , 880.5)
(946.4 , 910.3)
(208.3 , 670.5)
(756.6 , 106.5)
(424.0 ,   7.9)
(687.2 , 927.1)
(630.7 ,  32.3)
(683.7 , 384.8)
(630.0 , 329.3)
(961.8 , 959.4)
( 71.2 , 447.9)
(605.7 , 950.1)
(564.2 , 651.2)
(811.5 , 951.8)
(792.0 , 227.1)
(619.8 ,   6.3)
(859.2 , 337.5)
(364.7 , 757.0)
(613.6 , 224.8)
(910.1 , 449.5)
(490.4 , 581.1)
( 11.8 , 640.3)
(872.8 , 112.3)
(411.9 , 193.1)
(278.7 , 571.7)
(563.6 ,  45.6)
(850.2 , 734.6)
(174.0 ,  66.4)
( 74.4 , 116.8)
(854.4 , 677.7)
(514.7 , 937.1)
( 35.8 , 279.3)
(584.1 , 938.7)
( 81.2 , 326.5)
(272.5 , 712.1)
(758.4 , 218.9)
(955.7 , 822.2)
( 25.5 , 954.1)
(175.1 , 541.2)
(243.1 ,  90.5)
(661.4 , 342.0)
(456.6 , 842.3)
(870.7 , 522.1)
(876.4 , 667.6)
(246.3 , 430.8)
(760.3 , 709.5)
(496.1 ,  27.2)
(272.6 , 550.0)
(561.3 , 929.2)
(726.8 , 173.6)
(494.3 ,  93.6)
(692.1 , 586.9)
(543.8 , 375.0)
(196.0 ,  92.9)
(443.6 , 584.1)
( 45.5 , 523.8)
(274.8 , 975.4)
(452.5 , 214.5)
(163.4 , 201.6)
(893.6 , 695.3)
(261.6 , 661.7)
(859.0 ,  11.0)
(230.3 , 819.9)
(300.3 , 908.5)
(522.8 , 788.6)
( 75.6 ,  85.5)
(284.7 , 871.4)
(155.7 , 609.3)
(708.5 , 546.4)
(742.8 , 909.9)
(713.4 , 692.2)
(555.9 , 616.6)
(168.0 , 427.5)
(364.7 , 301.9)
(780.5 , 672.0)
(743.1 ,  70.6)
(163.1 , 770.2)
(190.1 , 907.9)
(815.2 , 445.7)
(717.6 , 884.3)
(462.4 , 780.4)
(881.7 , 822.1)
( 23.5 , 698.7)
(423.9 , 542.6)
( 14.2 , 849.8)
(659.1 , 538.2)
(313.2 , 357.6)
(683.0 , 126.8)
(576.4 , 694.0)
(269.4 , 758.2)
( 93.5 , 297.7)
(438.9 , 975.8)
(209.1 , 523.7)
(681.3 , 528.4)
(799.0 , 807.4)
(186.9 , 587.4)
(544.8 ,   6.3)
(397.9 , 380.5)
(206.3 , 289.6)
(782.9 , 645.8)
(847.9 , 854.0)
(606.5 ,  99.1)
(197.3 ,   6.1)
(291.6 , 648.1)
(909.8 , 587.9)
(225.1 , 216.8)
(899.2 ,  70.0)
(694.9 ,  41.6)
(201.8 , 129.7)
(799.5 , 180.5)
(962.5 , 174.5)
(209.9 , 340.8)
(850.4 , 422.7)
(269.1 , 152.6)
(352.0 , 779.9)
(623.2 , 816.8)
(668.2 , 411.3)
(716.3 , 991.4)
(712.6 , 572.6)
(693.0 , 413.9)
(674.3 , 441.7)
(370.0 , 889.1)
(135.5 , 281.7)
(364.4 ,  39.5)
(403.5 , 862.7)
(354.9 , 590.2)
(489.1 , 510.2)
(399.9 , 534.1)
(321.4 , 582.5)
(182.7 , 263.7)
( 68.3 , 244.1)
(108.5 , 665.6)
(362.8 , 158.3)
